AREA,CODE,COUNTRY NAME
European Union (EU),BE ,Belgium
European Union (EU),BG ,Bulgaria
European Union (EU),CZ ,Czech Republic
European Union (EU),DK ,Denmark
European Union (EU),DE ,Germany
European Union (EU),EE ,Estonia
European Union (EU),IE ,Ireland
European Union (EU),EL ,Greece
European Union (EU),ES ,Spain
European Union (EU),FR ,France
European Union (EU),HR ,Croatia
European Union (EU),IT ,Italy
European Union (EU),CY ,Cyprus
European Union (EU),LV ,Latvia
European Union (EU),LT ,Lithuania
European Union (EU),LU ,Luxembourg
European Union (EU),HU ,Hungary
European Union (EU),MT ,Malta
European Union (EU),NL ,Netherlands
European Union (EU),AT ,Austria
European Union (EU),PL ,Poland
European Union (EU),PT ,Portugal
European Union (EU),RO ,Romania
European Union (EU),SI ,Slovenia
European Union (EU),SK ,Slovakia
European Union (EU),FI ,Finland
European Union (EU),SE ,Sweden
European Union (EU),UK ,United Kingdom
