country,"Population (2023), millions",Fossil CO2/GtCO2,Land CO2/GtCO2,Territorial Total/GtCO2,Emp Fossil Total/GtCO2,Emp Land Total/GtCO2,Empire Total/GtCO2,Col Fossil Total/GtCO2,Col Land Total/GtCO2,Colonial Total/GtCO2,Cons Total/GtCO2,Emp Cons Total/GtCO2,Col Cons Total/GtCO2,Temperature increase/degC,Col Temperature increase/degC,Difference in temp increase/degC,Share/percent,Col share/percent,Change/percent,Territorial per yearly capita /tCO2/pc,Colonial per yearly capita /tCO2/pc,Territorial per 2023 capita /tCO2/pc,Colonial per 2023 capita /tCO2/pc,Consumption per yearly capita /tCO2/pc,Colonial consumption per yearly capita /tCO2/pc,Consumption per 2023 capita /tCO2/pc,Colonial consumption per 2023 capita /tCO2/pc
Afghanistan,42.239856,0.24253373220457933,0.9472661333333275,1.1897998655379067,0.0,0.0,0.0,0.24253373220457933,0.9472661333333275,1.1897998655379067,1.1897998655379067,0.0,1.1897998655379067,0.000535409939492058,0.000535409939492058,0.0,0.04652017620519112,0.04652017620519112,0.0,156.0706754231333,156.0706754231333,28.16770647934753,28.16770647934753,156.0706754231333,156.0706754231333,28.16770647934753,28.16770647934753
Albania,2.832443,0.3033853890027955,0.1680676799999953,0.47145306900279077,0.0,0.0,0.0,0.3033853890027955,0.1680676799999953,0.47145306900279077,0.5098128053976441,0.0,0.5098128053976441,0.00021215388105125585,0.00021215388105125585,0.0,0.01843341933189116,0.018433419331891156,0.0,283.1402425353297,283.1402425353297,166.44750450504768,166.44750450504768,295.95869415199513,295.95869415199513,179.99049068159326,179.99049068159326
Algeria,45.60648,5.22686548462713,0.5750647999999952,5.801930284627124,-0.0813349785,-0.43438551999999664,-0.5157204984999967,5.1455305061271295,0.1406792799999985,5.286209786127127,5.801930284627124,-0.5157204984999967,5.286209786127127,0.0026108686280822057,0.0023787944037572074,-0.00023207422432499833,0.22685060486963832,0.2066863661957649,-8.888774480218368,247.3630532490421,177.74199880549196,127.21723502070591,115.90918189974599,247.3630532490421,177.74199880549196,127.21723502070591,115.90918189974599
Angola,36.684212,0.7012662272115153,7.644642879999995,8.34590910721151,-0.038076929,-4.6264595199999965,-4.664536448999996,0.6631892982115153,3.0181833599999988,3.681372658211514,8.34590910721151,-4.664536448999996,3.681372658211514,0.003755659098245179,0.0016566176961951811,-0.0020990414020499977,0.3263180418031566,0.1439385813508618,-55.890094045829905,1330.1885912689945,181.8903278135027,227.50683883332454,100.35305264868478,1330.1885912689945,181.8903278135027,227.50683883332454,100.35305264868478
Argentina,45.773888,9.021836361081219,15.835832426666663,24.85766878774788,0.0,0.0,0.0,9.021836361081219,15.835832426666663,24.85766878774788,24.64309344778544,0.0,24.64309344778544,0.011185950954486545,0.011185950954486545,0.0,0.9719139878482941,0.9719139878482939,0.0,2677.751771089648,2677.751771089648,543.0534716156923,543.0534716156923,2672.567028173991,2672.567028173991,538.3657479081838,538.3657479081838
Armenia,2.777974,0.39735727450272124,0.1725499733333279,0.5699072478360492,-0.244027347,-0.1217791466666621,-0.3658064936666621,0.15332992750272123,0.050770826666665804,0.20410075416938703,0.5861769162140182,-0.3614730916666621,0.22470382454735616,0.0002564582615262221,9.184533937622416e-05,-0.00016461292214999795,0.022282895096783707,0.007980168196841822,-64.1870225472018,270.8601620288469,67.82842245053591,205.1521172754134,73.4710815037819,276.8103086339186,74.990473084561,211.00878417653234,80.88766293253866
Australia,26.439114,19.777305339567356,12.306472213333333,32.083777552900685,-0.14421504,-3.180321466666668,-3.3245365066666683,19.633090299567353,9.126150746666665,28.75924104623402,30.827025204231557,-3.3245365066666683,27.50248869756489,0.014437699898805308,0.01294165847080531,-0.0014960414279999983,1.2544487760673253,1.1244621887677855,-10.362048238194738,3981.3158280794078,2195.6917676873486,1213.496698599684,1087.7535853218842,3920.6300103078656,2135.0059499158065,1165.9628686585925,1040.2197553807925
Austria,8.958961,5.672780774611822,-0.538437013333332,5.13434376127849,1.731465811545865,1.9737875881775315,3.7052533997233965,7.404246586157687,1.4353505748441995,8.839597161001887,6.054766853182559,3.7052533997233965,9.760020252905957,0.0023104546925753204,0.003977818722450849,0.0016673640298755289,0.20074853207746424,0.3456208303795724,72.16605611153626,722.2438285182344,1403.4457363363406,573.0958937401882,986.6765979896426,833.6000847322007,1514.8019925503067,675.8335986932591,1089.4143029427137
Azerbaijan,10.412652,2.6100368799686464,0.5302785066666604,3.140315386635307,-1.4659740135,-0.4402601333333282,-1.9062341468333281,1.1440628664686465,0.0900183733333322,1.2340812398019787,2.998812344925159,-1.8684462843333283,1.130366060591831,0.0014131419239858882,0.0005553365579108904,-0.0008578053660749978,0.12278369611354863,0.04825154077585471,-60.70199684229055,598.4194378614491,138.70950109288674,301.5865109710098,118.51747660461318,579.3833026519131,124.73234687313624,287.99698145344325,108.55698054557391
Bahrain,1.485521,1.0529100790296795,0.00025648,1.0531665590296795,-0.084059488,-3.664e-05,-0.08409612799999999,0.9688505910296795,0.00021984,0.9690704310296795,0.7163656820830144,-0.08409612799999999,0.6322695540830144,0.00047392495156335575,0.00043608169396335575,-3.78432576e-05,0.04117792858996973,0.03788984056268992,-7.985073897283712,1783.9374795429155,1184.0504342295505,708.9543392719992,652.3438113831306,1490.0018778554395,890.1148325420744,482.231945615723,425.6214177268544
