,From former territories,Within own borders
United Kingdom,0.0,76.41985449807557
India,12.952887712666666,0.0
Myanmar,7.348448143833331,0.0
Nigeria,5.115535395666665,0.0
Australia,3.6395464640000004,0.0
Malaysia,3.3014257650000003,0.0
Zambia,2.2727882316666665,0.0
Tanzania,2.250290789333334,0.0
Bangladesh,2.199895270333333,0.0
New Zealand,1.440853344,0.0
Canada,1.201857952,0.0
Uganda,1.134855670999999,0.0
South Sudan,1.0309379243570824,0.0
Other Africa,6.03897098408903,0.0
Other Asia,2.651042556495113,0.0
Other,1.1628934406666531,0.0
