country,Within own borders,From former territories,Allocated to colonial power
Netherlands,1077.4745154260945,4027.5289032750834,
USA,3970.7422963029767,27.83728772070026,
Canada,3913.7010300720904,,386.0699315024658
United Kingdom,1593.8863764586094,1274.9376156266717,
Argentina,2677.751771089648,,
Qatar,2501.9100594222705,,849.5402200764906
Nicaragua,2387.0614030238094,,
Russia,1597.064688638282,674.5007870295308,
Australia,2195.6917676873486,,1785.6240603920592
Costa Rica,2094.436538397144,,
New Zealand,2060.3968768455143,,4399.07807191061
Malaysia,676.1117665959594,,1584.9201192277362
Indonesia,386.03740989786957,,551.3388474933636
China,277.36736085538985,3.161794063219702,
India,81.45534001566644,,42.08638994868154
