year,Fossil CO2/GtCO2_year,Land CO2/GtCO2_year,Fossil CO2/GtCO2_cumu,Land CO2/GtCO2_cumu
1850,0.196896032,2.41953461333333,0.196896032,2.41953461333333
1851,0.198804976,2.50770877333333,0.395701008,4.92724338666666
1852,0.207550944,2.5458754399999974,0.603251952,7.473118826666657
1853,0.217209248,2.6032048266666643,0.8204612,10.076323653333322
1854,0.25513897599999996,2.625506373333331,1.075600176,12.701830026666652
1855,0.260165985,2.638934933333331,1.335766161,15.340764959999984
1856,0.27729152,2.6708850133333297,1.6130576810000001,18.011649973333313
1857,0.279889296,2.694694906666664,1.892946977,20.70634487999998
1858,0.284171289,2.725814479999996,2.177118266,23.43215935999997
1859,0.301311653,2.7557249333333305,2.478429919,26.187884293333305
1860,0.33064127600000004,2.6444919999999974,2.809071195,28.8323762933333
1861,0.347734534,2.5199648533333305,3.156805729,31.35234114666663
1862,0.354056679,2.499727359999996,3.510862408,33.852068506666626
1863,0.37785907,2.4998250666666624,3.888721478,36.35189357333329
1864,0.407090287,2.467087226666664,4.295811765,38.818980799999956
1865,0.43230698,2.4385874133333294,4.728118745,41.25756821333328
1866,0.44596969000000003,2.4280656266666627,5.174088435,43.685633839999944
1867,0.477814914,2.4289144533333293,5.651903349,46.11454829333328
1868,0.490752497,2.4132447466666638,6.142655846,48.52779303999994
1869,0.521130722,2.389190586666664,6.663786568,50.9169836266666
1870,0.532536751,2.5671877066666626,7.196323319,53.48417133333327
1871,0.566142962,2.6793793866666666,7.762466281,56.16355071999993
1872,0.626371789,2.7350355466666603,8.38883807,58.89858626666659
1873,0.66541904,2.8059156266666636,9.05425711,61.70450189333326
1874,0.6229972479999999,2.85691850666666,9.677254358,64.56142039999992
1875,0.6757991529999999,2.88481986666666,10.353053511,67.44624026666658
1876,0.6855527199999999,2.924189546666663,11.038606231,70.37042981333325
1877,0.699098529,2.9704170133333303,11.73770476,73.34084682666658
1878,0.704379216,3.0202290933333273,12.442083976,76.36107591999989
1879,0.754867213,3.05951328,13.196951189,79.4205891999999
1880,0.85370466,3.094986906666661,14.050655849,82.51557610666656
1881,0.882404999,3.091548853333333,14.933060847999998,85.6071249599999
1882,0.931921909,3.1536414399999972,15.864982757,88.7607663999999
1883,0.991032424,3.2145432266666667,16.856015181,91.97530962666656
1884,1.002174283,3.234316613333333,17.858189464,95.20962623999989
1885,1.009671366,3.238304266666663,18.867860829999998,98.44793050666655
1886,1.025475446,3.2664682133333263,19.893336276,101.71439871999988
1887,1.076757808,3.3197000266666667,20.970094084,105.03409874666654
1888,1.192271841,3.3182649599999974,22.162365925,108.35236370666654
1889,1.1917996149999999,3.339516159999993,23.35416554,111.69187986666653
1890,1.2984582120000001,3.4608495199999987,24.652623751999997,115.15272938666654
1891,1.358873928,3.556913493333334,26.01149768,118.70964287999988
1892,1.3700882540000001,3.592790159999997,27.381585934,122.30243303999987
1893,1.353668695,3.6607878933333264,28.735254628999996,125.96322093333319
1894,1.400857615,3.696047786666659,30.136112244,129.65926871999986
1895,1.485272573,3.73652888,31.621384817,133.39579759999984
1896,1.533701465,3.7698590666666667,33.155086282,137.1656566666665
1897,1.606300569,3.8077142933333272,34.761386851,140.97337095999984
1898,1.694265755,3.839181946666663,36.455652606,144.8125529066665
1899,1.850798084,3.8810797866666586,38.30645069,148.69363269333317
1900,1.952209498,3.9954393333333256,40.258660188,152.68907202666648
1901,2.016744495,4.045214773333325,42.275404683,156.7342867999998
1902,2.067683966,4.110696560000002,44.343088649,160.84498335999982
1903,2.254094926,4.123465599999997,46.597183574999995,164.96844895999982
1904,2.279748708,4.1860283999999925,48.876932283,169.15447735999982
1905,2.4273131980000002,4.221666906666666,51.304245481,173.37614426666647
1906,2.534734412,4.23697021333333,53.838979893,177.6131144799998
1907,2.888307768,4.2746727733333305,56.727287661,181.88778725333313
1908,2.776404366,4.306494613333334,59.503692027,186.19428186666647
1909,2.890468086,4.332105973333333,62.394160113,190.5263878399998
1910,3.0338198,4.312271520000001,65.427979913,194.8386593599998
1911,3.079214907,4.303538986666668,68.50719482,199.14219834666648
1912,3.235538358,4.240884586666662,71.742733178,203.38308293333313
1913,3.5058652049999997,4.2258682933333285,75.248598383,207.60895122666645
1914,3.1799123430000003,4.221037919999995,78.428510726,211.82998914666643
1915,3.134378152,4.176483679999999,81.562888878,216.00647282666645
1916,3.385277455,4.122549599999997,84.948166333,220.12902242666644
1917,3.539852486,4.122384719999996,88.488018819,224.25140714666645
1918,3.492839866,4.1418588799999965,91.980858685,228.39326602666645
1919,3.028559779,4.115142213333329,95.00941846399999,232.50840823999977
1920,3.521062448,4.249757573333329,98.530480912,236.7581658133331
1921,3.089464237,4.358755466666664,101.619945149,241.11692127999976
1922,3.23973589,4.414686426666663,104.859681039,245.53160770666642
1923,3.6753980520000002,4.426686026666664,108.535079091,249.95829373333308
1924,3.686099236,4.456138479999997,112.221178327,254.4144322133331
1925,3.725636685,4.512063333333329,115.946815012,258.9264955466664
1926,3.659297159,4.499666799999997,119.606112171,263.42616234666644
1927,3.993753845,4.512008373333329,123.599866016,267.93817071999973
1928,3.976070948,4.529577253333331,127.575936964,272.4677479733331
1929,4.267657054,4.534389306666663,131.843594018,277.0021372799997
1930,3.934730074,4.557954933333331,135.778324092,281.56009221333306
1931,3.516940499,4.620200186666664,139.295264591,286.18029239999976
1932,3.170800552,4.673480853333331,142.466065143,290.8537732533331
1933,3.338349368,4.699464719999996,145.804414511,295.55323797333307
1934,3.630765464,4.733924639999999,149.435179975,300.28716261333307
1935,3.811111728,4.7344314933333305,153.246291703,305.0215941066664
1936,4.181088523,4.765575493333332,157.427380226,309.78716959999974
1937,4.469369269,4.769636426666664,161.896749495,314.5568060266664
1938,4.201279793,4.797189706666663,166.098029288,319.3539957333331
1939,4.44544268,4.8042062666666645,170.54347196799998,324.15820199999973
1940,4.854657594,5.010287946666665,175.398129562,329.1684899466664
1941,4.965648698,5.161653893333332,180.36377826,334.3301438399997
1942,4.953623648,5.192767359999999,185.317401908,339.5229111999997
1943,5.035077351,5.207942426666666,190.352479259,344.7308536266664
1944,5.110656039,5.20600661333333,195.463135298,349.9368602399997
1945,4.25026432,5.174850399999998,199.713399618,355.1117106399997
1946,4.638338854,5.159101306666664,204.351738472,360.27081194666636
1947,5.138489948,5.106553439999997,209.49022842,365.3773653866664
1948,5.415709249,5.05373688,214.905937669,370.43110226666636
1949,5.245849346,4.99272517333333,220.15178701500002,375.4238274399997
1950,6.003121698999999,5.416851493333331,226.154908714,380.84067893333304
1951,6.379609443,5.590506773333333,232.53451815699998,386.4311857066663
1952,6.465525432,5.71478965333333,239.000043589,392.1459753599997
1953,6.6475726790000005,5.822279199999998,245.647616268,397.9682545599997
1954,6.789752476,5.994218506666665,252.437368744,403.96247306666635
1955,7.44299491,6.17561093333333,259.880363654,410.1380839999997
1956,7.92398223,6.3805873066666665,267.804345884,416.51867130666636
1957,8.185202255,6.572373279999998,275.98954813899996,423.0910445866663
1958,8.417290445999999,6.76470885333333,284.406838585,429.8557534399997
1959,8.85582179,7.115109386666666,293.262660375,436.97086282666635
1960,9.387247447,6.567316959999999,302.649907822,443.5381797866663
1961,9.418005486,6.104413306666665,312.067913308,449.642593093333
1962,9.750586485,5.888396079999993,321.818499793,455.530989173333
1963,10.271101547999999,5.648605599999994,332.089601341,461.179594773333
1964,10.829007495,5.470980986666669,342.91860883600003,466.65057575999964
1965,11.316958562,5.0612114399999975,354.235567398,471.71178719999966
1966,11.866186516,4.841084426666664,366.101753914,476.55287162666633
1967,12.243160615999999,4.917955146666666,378.34491453000004,481.470826773333
1968,12.91000525,4.9714068000000005,391.25491977999997,486.442233573333
1969,13.766449893999999,4.660589679999997,405.02136967399997,491.102823253333
1970,14.897627185,4.591712586666663,419.918996859,495.6945358399997
1971,15.50418776,4.578644319999995,435.42318461900004,500.27318015999964
1972,16.227117041,4.584030399999997,451.65030166,504.85721055999966
1973,17.084334805,4.440255039999994,468.734636465,509.2974655999996
1974,17.015523238,4.313608880000003,485.750159703,513.6110744799996
1975,17.052722525,4.361588959999999,502.802882228,517.9726634399996
1976,17.989636926,4.296143813333335,520.792519154,522.268807253333
1977,18.500478294,4.399028933333334,539.2929974479999,526.6678361866664
1978,19.074887764,4.215914426666668,558.367885212,530.883750613333
1979,19.61575056,4.050594746666665,577.983635772,534.9343453599996
1980,19.498848763999998,4.076719066666669,597.482484536,539.0110644266663
1981,19.033600946,4.383426399999996,616.516085482,543.3944908266662
1982,18.881775654,4.400622773333329,635.397861136,547.7951135999996
1983,19.003597433,4.797531679999996,654.4014585689999,552.5926452799996
1984,19.661225379,5.297667679999995,674.062683948,557.8903129599996
1985,20.322211174,5.067989839999999,694.384895122,562.9583027999996
1986,20.623786093,5.105271039999998,715.008681215,568.0635738399997
1987,21.269855462,5.1003795999999975,736.278536677,573.1639534399997
1988,22.103295593,5.046567653333334,758.38183227,578.210521093333
1989,22.405843509,4.857670133333332,780.787675779,583.0681912266663
1990,22.752380389,4.866604186666664,803.540056168,587.934795413333
1991,23.239244049,4.7491790933333276,826.779300217,592.6839745066662
1992,22.574150426,4.882090693333334,849.353450643,597.5660651999996
1993,22.806691125,4.86502866666667,872.160141768,602.4310938666663
1994,22.963017207,5.28630928,895.123158975,607.7174031466662
1995,23.451957983,5.2763676266666595,918.575116958,612.9937707733329
1996,24.152457964,5.273869999999994,942.7275749219999,618.2676407733329
1997,24.295427998,7.093772693333332,967.02300292,625.3614134666662
1998,24.205764146,5.477967013333332,991.228767066,630.8393804799996
1999,24.724622549,5.476080053333336,1015.953389615,636.315460533333
2000,25.445562291,5.103646666666666,1041.398951906,641.4191071999996
2001,25.659676809,4.72895381333333,1067.058628715,646.148061013333
2002,26.272574995,5.16609954666667,1093.33120371,651.3141605599996
2003,27.643011302999998,5.638187626666665,1120.974215013,656.9523481866663
2004,28.627664612,5.347876693333328,1149.601879625,662.3002248799996
2005,29.605234717,4.705815653333329,1179.207114342,667.0060405333329
2006,30.583719463,5.060399253333329,1209.790833805,672.0664397866663
2007,31.497167168,4.422423573333336,1241.288000973,676.4888633599995
2008,32.076072818,4.628285413333335,1273.364073791,681.1171487733329
2009,31.553932188,5.0188739200000025,1304.918005979,686.136022693333
2010,33.354042158,4.824199493333335,1338.272048137,690.9602221866663
2011,34.476718742,4.948903733333333,1372.748766879,695.9091259199996
2012,34.996071498,4.812810559999999,1407.744838377,700.7219364799996
2013,35.309186782,4.61259738666667,1443.054025159,705.3345338666662
2014,35.567562325,4.904496053333338,1478.621587484,710.2390299199996
2015,35.548438705,5.37114309333333,1514.170026189,715.610173013333
2016,35.51383528,4.51182517333333,1549.683861469,720.1219981866662
2017,36.086518878,4.314494346666668,1585.770380347,724.436492533333
2018,36.816345339,4.1646062133333315,1622.586725686,728.6010987466663
2019,37.072149248,4.542376826666671,1659.658874934,733.1434755733329
2020,35.254666901,4.040317226666665,1694.913541835,737.1837927999995
2021,37.114431521,4.003707759999998,1732.027973356,741.1875005599996
2022,37.94475929181291,4.003707759999998,1769.972732647813,745.1912083199996
2023,38.43200500079624,4.003707759999998,1808.4047376486092,749.1949160799995
