country,Within own borders,From former territories,Allocated to colonial power
Netherlands,717.9154382076345,1295.9214522651662,
United Kingdom,1128.1881414249794,793.3978228246372,
Russia,1176.2896930759848,478.6912836458482,
USA,1551.640019482235,8.455807985352521,
Canada,1523.9333176371676,,30.990666220265894
Belgium,1114.7455076668407,372.29097805937977,
Germany,1098.833888717925,6.031766688958669,
Australia,1087.7535853218842,,125.7431132777997
Austria,573.0958937401882,413.58070424945436,
Trinidad and Tobago,945.737583011962,,177.8672235186889
Portugal,283.27308954956607,661.503728561539,
France,566.965309126471,290.51208599199015,
New Zealand,776.9989929863954,,275.5978402100494
China,215.2815150217063,1.3931222284762441,
India,51.94960534325364,,9.066664186804374
